method,steps,precision,recall,fid
DDIM-100,100,0.7512000203132629,0.326200008392334,29.328191103049335
DDIM-50,50,0.7767000198364258,0.3061000108718872,29.78874219260655
DDIM-20,20,0.833899974822998,0.24310000240802765,32.42796003651881
DDIM-10,10,0.8931000232696533,0.14079999923706055,40.89385370744952
DDIM-8,8,0.9031999707221985,0.10199999809265137,47.124283834790845
DDIM-4,4,0.8525000214576721,0.014800000004470348,103.27981537228578
DDIM-2,2,0.40070000290870667,0.00139999995008111,188.84237050829955
DDIM-1,1,0.005499999970197678,0.0,325.10674342402626
